SI. No,Name of the States/UTs,2010,2011,2012,2013,2014 (Prov. upto 30.11.14)
1,Andhra Pd.,116,99,2827,4827,944
2,Assam,0,0,0,742,0
3,Bihar,0,91,34,0,0
4,Goa,1429,664,571,1049,979
5,Gujarat,1709,1042,1317,2890,574
6,Haryana,26,215,8,1,3
7,Jharkhand,0,816,86,61,0
8,Karnataka,8740,1941,2382,5295,6219
9,Kerala,1708,183,66,273,239
10,Madhya Pd.,113,280,20,139,142
11,Meghalaya,16,168,0,0,0
12,Maharashtra,7431,5113,1544,1578,1130
13,Orissa,544,236,129,35,10
14,Punjab,1,0,1,0,1
15,Rajasthan,1326,608,172,76,22
16,Tamil Nadu,4319,4194,5018,859,466
17,Telangana,0,0,0,0,518
18,Tripura,0,0,0,0,21
19,Uttar Pradesh,5,3,13,0,3
20,Uttrakhand,0,18,0,0,0
21,West Bengal,20503,4482,1381,646,910
22,A&N Island,59,96,256,202,156
23,Chandigarh,0,1,1,1,0
24,Delhi,120,110,6,18,8
25,D&N Haveli,0,0,100,2,0
26,Lakshadweep,0,0,0,0,0
27,Puducherry,11,42,45,146,349
,Total,48176,20402,15977,18840,12694
