State,2010,2011,2012,2013,2014
Andhra Pd.,116,99,2827,4827,944
Assam,0,0,0,742,0
Bihar,0,91,34,0,0
Goa,1429,664,571,1049,979
Gujarat,1709,1042,1317,2890,574
Haryana,26,215,8,1,3
Jharkhand,0,816,86,61,0
Karnataka,8740,1941,2382,5295,6219
Kerala,1708,183,66,273,239
Madhya Pd.,113,280,20,139,142
Meghalaya,16,168,0,0,0
Maharashtra,7431,5113,1544,1578,1130
Orissa,544,236,129,35,10
Punjab,1,0,1,0,1
Rajasthan,1326,608,172,76,22
Tamil Nadu,4319,4194,5018,859,466
Telangana,0,0,0,0,518
Tripura,0,0,0,0,21
Uttar Pradesh,5,3,13,0,3
Uttrakhand,0,18,0,0,0
West Bengal,20503,4482,1381,646,910
A&N Island,59,96,256,202,156
Chandigarh,0,1,1,1,0
Delhi,120,110,6,18,8
D&N Haveli,0,0,100,2,0
Lakshadweep,0,0,0,0,0
Puducherry,11,42,45,146,349
Total,48176,20402,15977,18840,12694
