State,2010,2011,2012,2013,2014
ANDHRA_PD,776,1209,2299,910,805
Arunachal Pd.,0,0,346,0,7
Assam,237,0,1058,4526,75
Bihar,510,21,872,1246,289
Chhattisgarh,4,313,45,83,56
Goa,242,26,39,198,140
Gujarat,2568,1693,3067,6272,1942
Haryana,866,267,768,1784,200
Himachal Pd.,3,0,73,89,0
J & K,0,3,17,1837,0
Jharkhand,27,36,42,161,26
KARNATAKA,2285,405,3924,6408,2842
Kerala,2597,1304,4172,7938,2361
Madhya Pd.,175,50,239,1255,1991
Meghalaya,1,0,27,43,8
MAHARASHTRA,1489,1138,2931,5610,6485
Manipur,7,220,6,9,0
Mizoram,0,0,6,7,16
Nagaland,0,3,0,0,0
Orissa,29,1816,2255,7132,6231
Punjab,4012,3921,770,4117,437
RAJASTHAN,1823,1072,1295,4413,817
Sikkim,0,2,2,38,5
TAMIL_NADU,2051,2501,12826,6122,2074
Tripura,0,0,9,8,6
Telangana,0,0,0,0,606
UTTAR_PD,960,155,342,1414,119
Uttrakhand,178,454,110,54,1
West Bengal,805,510,6456,5920,3388
A&N Island,25,6,24,67,121
Chandigarh,221,73,351,107,11
DELHI,6259,1131,2093,5574,847
D&N Haveli,46,68,156,190,483
Daman & Diu,0,0,96,61,0
Puducherry,96,463,3506,2215,931
TOTAL,28292,18860,50222,75808,33320
