SI.,Affected States,2010,,2011,,2012,,2013(P),,2014(P),
No.,,C,D,C,D,C,D,C,D,C,D
1,Bihar,23084,95,25222,76,16036,27,10730,17,6704,8
2,Jharkhand,4305,5,5960,3,3535,1,2515,0,778,0
3,West Bengal,1482,4,1962,0,995,0,595,2,354,1
4,Uttar Pradesh,14,0,11,1,5,0,11,1,11,0
5,Uttarakhand,1,0,0,0,7,1,0,0,4,0
6,Delhi *,92,0,19,0,11,0,6,0,0,0
7,Assam,12,0,5,0,6,0,4,0,1,0
8,Sikkim,3,0,7,0,5,0,8,0,4,0
9,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0
10,Himachal Pradesh,6,1,1,0,0,0,0,0,0,0
11,Punjab*,1,0,0,0,0,0,0,0,0,0
,Total,29000,105,33187,80,20600,29,13869,20,7856,9
