STATE,2009,2010,2011,2012,2013
Andhra Pradesh,25152,33393,34949,24699,13351
Arunachal Pradesh,22066,17944,13950,8368,5074
Assam,91413,68353,47397,29999,17002
Bihar,3255,1908,2643,2605,1944
Chhattisgarh,129397,152209,136899,124006,82372
Goa,5056,2368,1187,1714,1282
Gujarat,45902,66501,89764,76246,48935
Haryana,30168,18921,33401,26819,11225
Himachal Pradesh,192,210,247,216,130
Jammu & Kashmir,346,802,1091,864,612
Jharkhand,230683,199842,160653,131476,77560
Karnataka,36859,44319,24237,16466,10170
Kerala,2046,2299,1993,2036,1370
Madhya Pradesh,87628,87165,91851,76538,56865
Maharashtra,93818,139198,96577,58517,37068
Manipur,1069,947,714,255,115
Meghalaya,76759,41642,25143,20834,21217
Mizoram,9399,15594,8861,9883,10075
Nagaland,8489,4959,3363,2891,2048
Orissa,380904,395651,308968,262842,179570
Punjab,2955,3477,2693,1689,1653
Rajasthan,32709,50963,54294,45809,23800
Sikkim,42,49,51,77,38
Tamil Nadu,14988,17086,22171,18869,13075
Tripura,24430,23939,14417,11565,5670
Uttarakhand,1264,1672,1277,1948,1300
Uttar Pradesh,55437,64606,56968,47400,41891
West Bengal,141211,134795,66368,55793,24330
A.N.Islands,5760,2484,1918,1539,922
Chandigarh,430,351,582,201,144
D & N Haveli,3408,5703,5150,4940,1709
Daman & Diu,97,204,262,186,83
Delhi,169,251,413,382,303
Lakshadweep,8,6,8,9,0
Puducherry,65,175,196,143,103
India,1563574,1599986,310656,1067824,693006
